#,項目カテゴリ,項目名,詳細,回答,必須/任意,備考
1,基本情報,正式名称,会社名、ブランド名、サービス名など,BEAT POP,必須,英語表記の有無も確認。正式名称として使用
2,基本情報,所在地・連絡先,事業所の住所、電話番号、代表メールアドレスなど,"〒366-0826 埼玉県深谷市田所町７−４７
048-571-0193",必須,地図表示や問い合わせ先として必要
3,基本情報,営業時間・対応時間,通常の営業・対応時間、受付時間など,火～土        18時00分～0時00分,必須,曜日ごとの変動も記載
4,基本情報,定休日・休業日,不定休の場合はその旨や、休業日、対応不可な期間など,月・日,必須,
5,基本情報,アクセス方法・交通手段,最寄駅からの時間、駐車場情報、オンラインアクセス方法など,深谷駅徒歩7分,必須,複数拠点やオンラインサービスの場合はその旨記載
6,事業・サービスコンセプト,コンセプト,ターゲット層、提供したい価値、強みなど,"月一回のライブハウス、基本はカラオケバー
「音響最高」を記載してほしい",必須,全体のトーン＆マナーに影響
7,事業・サービスコンセプト,事業・サービス概要,メインの事業内容、サービスの特徴、こだわりなど,,必須,主要コンテンツの選定にも必要
8,デザイン・イメージ,希望する雰囲気,参考になるHP,白・黒,必須,具体的な指示があると制作がスムーズ
9,デザイン・イメージ,ロゴデータ,"高解像度の画像ファイル（AI, EPS, PNGなど）",GBP・Instagram,必須,LINEで送ってください
10,デザイン・イメージ,イメージ写真・画像,事業所、商品、サービス、スタッフの写真など,,必須,LINEで送ってください
11,提供情報,商品・サービス情報,全ての商品・サービス名と価格、詳細など,https://drive.google.com/drive/u/0/folders/14IbMqOXehMWwOk1dTZqQnfwplnmhuwgd,必須,LINEで送ってください
12,提供情報,商品・サービス写真・画像,各商品やサービスの魅力的な写真・画像など,メニュー記載,必須,LINEで送ってください
13,機能要件,予約・申し込みシステムの有無,自社システム、外部サービス利用の有無と詳細,お電話・InstagramのDM,任意,予約・申し込みURLの提供が必要
14,機能要件,お問い合わせフォームの有無,設置の有無、必要項目、自動返信の要否など,なし,任意,受信メールアドレスの指定
15,機能要件,SNS連携,"連携したいSNSアカウント（Facebook, X, Instagramなど）","Instagram
https://www.instagram.com/secretboys1965m.m/
Facebook",,URLまたはアカウント名
16,コンテンツ,沿革・代表者紹介,企業や事業の歴史、代表者・担当者の紹介など,なし,任意,ストーリー性のある文章が効果的
17,その他,ドメイン希望,取得希望ドメイン名、既存ドメインの有無など（有りの場合はログイン情報）,なし,必須,特に既存がなければ「なし」でOK
18,その他,納期希望,公開希望日、プロジェクト完了希望日など,7月15日,必須,基本的な目安や期限
,,,,,,
,,,,,,
,,,,,,
,,,,"貸切も可能です。人数やお値段については要相談となりますので、
お電話にてお問い合わせください",,
,,,,,,
,,,金曜、今週までに写真お送りいただける,,,
